Scholarship_ID,Scholarship_Name,Field_of_Study,Education_Level,Category,Min_Percentage,Max_Family_Income_USD,Amount_USD,Country,Gender_Eligibility,Keywords
S001,National Merit Tech Scholarship,Computer Science,Undergraduate,Merit-Based,85,60000,5000,USA,All,"programming, AI, software, coding, technology"
S002,Women in STEM Grant,Computer Science,Undergraduate,Diversity,75,50000,4000,USA,Female,"stem, coding, robotics, technology, women empowerment"
S003,Future Engineers Award,Mechanical Engineering,Undergraduate,Merit-Based,80,55000,4500,India,All,"engineering, design, mechanics, robotics, manufacturing"
S004,Global Health Leaders Scholarship,Medicine,Undergraduate,Need-Based,70,30000,6000,UK,All,"medicine, healthcare, biology, research, doctor"
S005,Rural Talent Scholarship,Agriculture,Undergraduate,Need-Based,65,25000,3000,India,All,"agriculture, farming, sustainability, environment, rural development"
S006,Business Leaders of Tomorrow,Business Administration,Undergraduate,Merit-Based,78,45000,4000,USA,All,"business, management, entrepreneurship, finance, leadership"
S007,Creative Arts Fellowship,Fine Arts,Undergraduate,Merit-Based,70,40000,3500,Canada,All,"art, painting, design, creativity, visual arts"
S008,Sports Excellence Scholarship,Physical Education,Undergraduate,Sports,60,50000,4000,USA,All,"sports, athletics, fitness, football, basketball"
S009,Law and Justice Scholarship,Law,Undergraduate,Merit-Based,82,55000,5000,UK,All,"law, justice, legal studies, human rights, advocacy"
S010,Environmental Science Grant,Environmental Science,Undergraduate,Need-Based,72,35000,3800,Australia,All,"environment, sustainability, climate, ecology, conservation"
S011,AI Innovators Scholarship,Artificial Intelligence,Postgraduate,Merit-Based,88,60000,7000,USA,All,"ai, machine learning, data science, neural networks, coding"
S012,Data Science Excellence Award,Data Science,Postgraduate,Merit-Based,85,58000,6500,USA,All,"data science, analytics, statistics, machine learning, python"
S013,Nursing Care Scholarship,Nursing,Undergraduate,Need-Based,68,28000,3200,Philippines,All,"nursing, healthcare, medicine, patient care, hospital"
S014,First Generation Student Grant,General Studies,Undergraduate,Need-Based,65,20000,3000,USA,All,"first generation, general studies, community, financial aid"
S015,Music and Performing Arts Award,Music,Undergraduate,Merit-Based,70,40000,3500,USA,All,"music, performing arts, singing, instruments, theatre"
S016,Civil Engineering Merit Scholarship,Civil Engineering,Undergraduate,Merit-Based,80,50000,4500,Pakistan,All,"civil engineering, construction, infrastructure, design, architecture"
S017,Girls in Robotics Grant,Robotics,Undergraduate,Diversity,75,45000,4200,India,Female,"robotics, engineering, technology, automation, women in tech"
S018,Journalism and Media Scholarship,Journalism,Undergraduate,Merit-Based,72,42000,3600,UK,All,"journalism, media, writing, communication, broadcasting"
S019,Psychology Research Fellowship,Psychology,Postgraduate,Merit-Based,80,50000,5500,USA,All,"psychology, research, mental health, behavior, counseling"
S020,Athletic Achievers Scholarship,Sports Science,Undergraduate,Sports,60,55000,4000,Australia,All,"sports, athletics, coaching, fitness, sports science"
S021,Minority Business Grant,Business Administration,Undergraduate,Diversity,70,35000,4000,USA,All,"business, minority, entrepreneurship, finance, diversity"
S022,Chemical Engineering Scholarship,Chemical Engineering,Undergraduate,Merit-Based,82,52000,4600,USA,All,"chemical engineering, chemistry, manufacturing, process design"
S023,Special Needs Support Scholarship,General Studies,Undergraduate,Need-Based,60,25000,3500,Canada,All,"disability support, general studies, accessibility, inclusion"
S024,Cybersecurity Future Leaders,Cybersecurity,Postgraduate,Merit-Based,85,60000,7000,USA,All,"cybersecurity, hacking, network security, coding, ai"
S025,Teaching Excellence Scholarship,Education,Undergraduate,Merit-Based,75,38000,3500,Philippines,All,"education, teaching, pedagogy, classroom, learning"
S026,Aspiring Architects Award,Architecture,Undergraduate,Merit-Based,80,48000,4300,India,All,"architecture, design, buildings, urban planning, creativity"
S027,Veteran Family Scholarship,General Studies,Undergraduate,Need-Based,60,30000,3200,USA,All,"veteran, military family, general studies, financial aid"
S028,Physics Research Grant,Physics,Postgraduate,Merit-Based,87,55000,6800,UK,All,"physics, research, quantum, science, mathematics"
S029,Biotechnology Innovation Award,Biotechnology,Undergraduate,Merit-Based,83,50000,4700,Germany,All,"biotechnology, genetics, biology, research, science"
S030,LGBTQ+ Student Grant,General Studies,Undergraduate,Diversity,65,32000,3300,USA,All,"lgbtq, diversity, inclusion, general studies, community"
S031,Football Talent Scholarship,Sports Science,Undergraduate,Sports,55,50000,3800,Brazil,Male,"football, soccer, sports, athletics, fitness"
S032,Basketball Stars Scholarship,Sports Science,Undergraduate,Sports,55,50000,3800,USA,All,"basketball, sports, athletics, teamwork, fitness"
S033,Renewable Energy Scholars,Electrical Engineering,Undergraduate,Merit-Based,81,47000,4400,Germany,All,"renewable energy, electrical engineering, solar, sustainability, power systems"
S034,Aspiring Doctors Fund,Medicine,Postgraduate,Need-Based,75,32000,7500,India,All,"medicine, doctor, healthcare, surgery, clinical research"
S035,Software Developers Grant,Software Engineering,Undergraduate,Merit-Based,84,55000,4800,USA,All,"software, coding, programming, development, apps"
S036,Economics Scholars Award,Economics,Undergraduate,Merit-Based,79,45000,4000,UK,All,"economics, finance, markets, policy, statistics"
S037,Fine Arts Diversity Grant,Fine Arts,Undergraduate,Diversity,68,30000,3200,Canada,All,"art, sculpture, painting, creativity, diversity"
S038,Mathematics Olympiad Scholarship,Mathematics,Undergraduate,Merit-Based,90,60000,5200,USA,All,"mathematics, problem solving, olympiad, logic, statistics"
S039,Social Work Impact Scholarship,Social Work,Undergraduate,Need-Based,66,28000,3400,USA,All,"social work, community service, welfare, counseling, advocacy"
S040,International Relations Grant,Political Science,Undergraduate,Merit-Based,77,42000,3900,UK,All,"political science, diplomacy, international relations, policy, government"
S041,Game Development Scholarship,Game Design,Undergraduate,Merit-Based,78,44000,4100,USA,All,"game design, coding, animation, software, creativity"
S042,Marine Biology Research Award,Marine Biology,Undergraduate,Merit-Based,79,40000,4000,Australia,All,"marine biology, ocean, ecology, research, environment"
S043,Aviation and Aerospace Scholarship,Aerospace Engineering,Undergraduate,Merit-Based,85,58000,5500,USA,All,"aerospace, aviation, engineering, flight, space"
S044,Indigenous Students Grant,General Studies,Undergraduate,Diversity,62,25000,3300,Canada,All,"indigenous, diversity, general studies, community, culture"
S045,Fashion Design Talent Award,Fashion Design,Undergraduate,Merit-Based,71,36000,3400,France,All,"fashion, design, creativity, textiles, art"
S046,Public Health Scholars Grant,Public Health,Postgraduate,Need-Based,74,33000,6200,USA,All,"public health, healthcare, epidemiology, research, community health"
S047,Blockchain and Fintech Award,Finance,Postgraduate,Merit-Based,86,56000,6900,USA,All,"blockchain, fintech, finance, cryptocurrency, technology"
S048,Rural Women Empowerment Grant,General Studies,Undergraduate,Diversity,60,22000,3100,India,Female,"women empowerment, rural development, general studies, community"
S049,Wrestling and Combat Sports Scholarship,Sports Science,Undergraduate,Sports,58,48000,3700,USA,All,"wrestling, combat sports, athletics, fitness, sports science"
S050,Space Science Fellowship,Astrophysics,Postgraduate,Merit-Based,88,60000,7200,USA,All,"astrophysics, space, science, research, astronomy"
